Width,Prob,Time
10,0.2,47
10,0.25,37
10,0.3,30
10,0.35,27
10,0.4,22
10,0.45,21
10,0.5,18
10,0.55,17
10,0.6,15
10,0.65,14
10,0.7,13
10,0.75,13
10,0.8,12
10,0.85,11
20,0.2,97
20,0.25,75
20,0.3,64
20,0.35,56
20,0.4,50
20,0.45,42
20,0.5,39
20,0.55,34
20,0.6,31
20,0.65,30
20,0.7,27
20,0.75,26
20,0.8,24
20,0.85,23
30,0.2,151
30,0.25,117
30,0.3,97
30,0.35,84
30,0.4,71
30,0.45,66
30,0.5,59
30,0.55,53
30,0.6,50
30,0.65,45
30,0.7,41
30,0.75,39
30,0.8,37
30,0.85,35
40,0.2,195
40,0.25,159
40,0.3,129
40,0.35,112
40,0.4,97
40,0.45,87
40,0.5,78
40,0.55,72
40,0.6,66
40,0.65,60
40,0.7,57
40,0.75,53
40,0.8,49
40,0.85,46
50,0.2,249
50,0.25,199
50,0.3,163
50,0.35,140
50,0.4,122
50,0.45,109
50,0.5,99
50,0.55,90
50,0.6,82
50,0.65,76
50,0.7,71
50,0.75,66
50,0.8,61
50,0.85,58
60,0.2,303
60,0.25,238
60,0.3,197
60,0.35,170
60,0.4,149
60,0.45,133
60,0.5,118
60,0.55,109
60,0.6,100
60,0.65,92
60,0.7,83
60,0.75,79
60,0.8,75
60,0.85,70
70,0.2,350
70,0.25,276
70,0.3,235
70,0.35,200
70,0.4,173
70,0.45,153
70,0.5,139
70,0.55,127
70,0.6,116
70,0.65,106
70,0.7,99
70,0.75,92
70,0.8,88
70,0.85,81
80,0.2,395
80,0.25,312
80,0.3,265
80,0.35,229
80,0.4,198
80,0.45,176
80,0.5,159
80,0.55,145
80,0.6,132
80,0.65,121
80,0.7,114
80,0.75,107
80,0.8,100
80,0.85,94
90,0.2,446
90,0.25,352
90,0.3,301
90,0.35,252
90,0.4,226
90,0.45,199
90,0.5,181
90,0.55,163
90,0.6,148
90,0.65,139
90,0.7,128
90,0.75,120
90,0.8,112
90,0.85,105
100,0.2,493
100,0.25,401
100,0.3,332
100,0.35,282
100,0.4,245
100,0.45,223
100,0.5,200
100,0.55,181
100,0.6,166
100,0.65,154
100,0.7,141
100,0.75,133
100,0.8,125
100,0.85,118
110,0.2,543
110,0.25,436
110,0.3,360
110,0.35,311
110,0.4,272
110,0.45,243
110,0.5,220
110,0.55,199
110,0.6,184
110,0.65,169
110,0.7,157
110,0.75,147
110,0.8,138
110,0.85,129
120,0.2,591
120,0.25,475
120,0.3,404
120,0.35,343
120,0.4,303
120,0.45,262
120,0.5,237
120,0.55,217
120,0.6,199
120,0.65,185
120,0.7,170
120,0.75,159
120,0.8,148
120,0.85,140
130,0.2,644
130,0.25,512
130,0.3,435
130,0.35,368
130,0.4,323
130,0.45,288
130,0.5,261
130,0.55,236
130,0.6,214
130,0.65,200
130,0.7,186
130,0.75,172
130,0.8,162
130,0.85,153
140,0.2,698
140,0.25,556
140,0.3,462
140,0.35,399
140,0.4,347
140,0.45,309
140,0.5,279
140,0.55,252
140,0.6,231
140,0.65,212
140,0.7,200
140,0.75,187
140,0.8,175
140,0.85,164
150,0.2,747
150,0.25,596
150,0.3,494
150,0.35,428
150,0.4,377
150,0.45,327
150,0.5,302
150,0.55,272
150,0.6,251
150,0.65,229
150,0.7,212
150,0.75,199
150,0.8,187
150,0.85,176
160,0.2,797
160,0.25,635
160,0.3,528
160,0.35,455
160,0.4,401
160,0.45,358
160,0.5,321
160,0.55,291
160,0.6,265
160,0.65,246
160,0.7,228
160,0.75,211
160,0.8,200
160,0.85,188
170,0.2,848
170,0.25,677
170,0.3,564
170,0.35,482
170,0.4,419
170,0.45,377
170,0.5,341
170,0.55,309
170,0.6,281
170,0.65,260
170,0.7,243
170,0.75,226
170,0.8,211
170,0.85,200
180,0.2,891
180,0.25,710
180,0.3,599
180,0.35,517
180,0.4,446
180,0.45,398
180,0.5,359
180,0.55,323
180,0.6,301
180,0.65,276
180,0.7,256
