Width,Prob,Time
0,0.5,0
1,0.5,10
2,0.5,29.24
3,0.5,50.57
4,0.5,69.09
5,0.5,90.91
6,0.5,111.4
7,0.5,129.29
8,0.5,150.81
9,0.5,167.63
10,0.5,190.67
11,0.5,208.69
12,0.5,230.46
13,0.5,250.5
14,0.5,269.01
15,0.5,290.98
16,0.5,310.32
17,0.5,329.14
18,0.5,349.36
19,0.5,370.52
20,0.5,391.62
21,0.5,406.96
22,0.5,427.96
23,0.5,447.5
24,0.5,468.27
25,0.5,487.27
26,0.5,508.7
27,0.5,528.11
28,0.5,548.1
29,0.5,568.99
30,0.5,585.57
31,0.5,610.13
32,0.5,631.29
33,0.5,649.89
34,0.5,672.91
35,0.5,691.15
36,0.5,708.52
37,0.5,728.51
38,0.5,749.41
39,0.5,774.38
40,0.5,791.03
41,0.5,811
42,0.5,828.58
43,0.5,848.87
44,0.5,870.9
45,0.5,887.43
46,0.5,907.78
47,0.5,929.01
48,0.5,952.7
49,0.5,972.35
50,0.5,991.02
51,0.5,1010.03
52,0.5,1028.88
53,0.5,1050.21
54,0.5,1066.56
55,0.5,1096.29
56,0.5,1106.09
57,0.5,1125.78
58,0.5,1148.98
59,0.5,1172.33
60,0.5,1189.81
61,0.5,1214.45
62,0.5,1232.41
63,0.5,1242.92
64,0.5,1268.08
65,0.5,1289.01
66,0.5,1313.43
67,0.5,1330.93
68,0.5,1351.5
69,0.5,1375.34
70,0.5,1393.19
71,0.5,1412.14
72,0.5,1431.45
73,0.5,1448.56
74,0.5,1467.8
75,0.5,1494.46
76,0.5,1508.21
77,0.5,1530.48
78,0.5,1550.2
79,0.5,1570.53
80,0.5,1589.93
81,0.5,1608.9
82,0.5,1629.04
83,0.5,1649.88
84,0.5,1669.09
85,0.5,1683.02
86,0.5,1709.14
87,0.5,1728.07
88,0.5,1744.53
89,0.5,1767.19
90,0.5,1795.15
91,0.5,1809.81
92,0.5,1828.5
93,0.5,1855.95
94,0.5,1867.89
95,0.5,1893.97
96,0.5,1912.64
97,0.5,1932.91
98,0.5,1951.92
99,0.5,1968.74
100,0.5,1992.82
101,0.5,2007.67
102,0.5,2032.35
103,0.5,2055.57
104,0.5,2066.33
105,0.5,2085.05
106,0.5,2109
107,0.5,2129.75
108,0.5,2145.21
109,0.5,2170.32
110,0.5,2199.29
111,0.5,2201.06
112,0.5,2238.59
113,0.5,2248.78
114,0.5,2266
115,0.5,2289.48
116,0.5,2307.17
117,0.5,2329.17
118,0.5,2347.09
119,0.5,2361.37
120,0.5,2392.63
121,0.5,2405.76
122,0.5,2434.98
123,0.5,2444.56
124,0.5,2479.09
125,0.5,2486.03
126,0.5,2514.13
127,0.5,2525.29
128,0.5,2551.8
129,0.5,2568.02
130,0.5,2592.75
131,0.5,2614.69
132,0.5,2624.81
133,0.5,2641.25
134,0.5,2671.21
135,0.5,2684.67
136,0.5,2711.63
137,0.5,2730.9
138,0.5,2756.57
139,0.5,2781.61
140,0.5,2785.74
141,0.5,2808.03
142,0.5,2824.74
143,0.5,2860.15
144,0.5,2872.8
145,0.5,2879.06
146,0.5,2912.56
147,0.5,2932.58
148,0.5,2950.87
149,0.5,2972.3
150,0.5,2994.57
151,0.5,3007.36
152,0.5,3041.47
153,0.5,3051.87
154,0.5,3070.71
155,0.5,3091.45
156,0.5,3120.08
157,0.5,3128.85
158,0.5,3157.58
159,0.5,3167.74
160,0.5,3199.53
161,0.5,3218.37
162,0.5,3218.04
163,0.5,3250.01
164,0.5,3266.66
165,0.5,3280.03
166,0.5,3314.79
167,0.5,3318.33
168,0.5,3353.25
169,0.5,3353.54
170,0.5,3386.83
171,0.5,3402.08
172,0.5,3416.84
173,0.5,3446.97
174,0.5,3461.04
175,0.5,3483.44
176,0.5,3507.85
177,0.5,3532.9
178,0.5,3554.66
179,0.5,3561.99
180,0.5,3588.49
181,0.5,3613.41
182,0.5,3633.4
183,0.5,3650.55
184,0.5,3659.05
185,0.5,3682.29
186,0.5,3712.36
187,0.5,3725.32
188,0.5,3749.91
189,0.5,3774.81
190,0.5,3800.22
191,0.5,3802.99
192,0.5,3834.55
193,0.5,3846.99
194,0.5,3868.99
195,0.5,3890.16
196,0.5,3914.1
197,0.5,3921.04
198,0.5,3945.18
199,0.5,3969.29
200,0.5,3977.86
201,0.5,4001.35
202,0.5,4033.27
203,0.5,4049.26
204,0.5,4069.67
205,0.5,4096.4
206,0.5,4110.02
207,0.5,4132.55
208,0.5,4160.19
209,0.5,4170.5
210,0.5,4193.19
211,0.5,4194.84
212,0.5,4215.9
213,0.5,4249.71
214,0.5,4264.99
215,0.5,4283.71
216,0.5,4313.39
217,0.5,4345
218,0.5,4345.34
219,0.5,4364.61
220,0.5,4388.01
221,0.5,4411.28
222,0.5,4424.89
223,0.5,4448.19
224,0.5,4477.28
225,0.5,4493.62
226,0.5,4506.76
227,0.5,4529.15
228,0.5,4553.74
229,0.5,4563.84
230,0.5,4585.97
231,0.5,4613.08
232,0.5,4636.34
233,0.5,4644.89
234,0.5,4666.68
235,0.5,4704.29
236,0.5,4709.86
237,0.5,4726.56
238,0.5,4750.7
239,0.5,4771.08
240,0.5,4799.12
241,0.5,4803.06
242,0.5,4832.99
243,0.5,4860.52
244,0.5,4858.6
245,0.5,4883.74
246,0.5,4916.03
247,0.5,4931.03
248,0.5,4954.75
249,0.5,4969.78
250,0.5,4990.84
251,0.5,5015.73
252,0.5,5031.35
253,0.5,5061.42
254,0.5,5067.98
255,0.5,5084.34
256,0.5,5112.13
257,0.5,5130.48
258,0.5,5161.54
259,0.5,5165.2
260,0.5,5197.82
261,0.5,5203.93
262,0.5,5224.52
263,0.5,5252.52
264,0.5,5270.95
265,0.5,5290.19
266,0.5,5305.57
267,0.5,5340.24
268,0.5,5341.88
269,0.5,5368.24
270,0.5,5384.67
271,0.5,5398.04
272,0.5,5426.62
273,0.5,5431.9
274,0.5,5471.04
275,0.5,5489.27
276,0.5,5511.7
277,0.5,5536.65
278,0.5,5556.4
279,0.5,5557.25
280,0.5,5594.98
281,0.5,5600.59
282,0.5,5635.07
283,0.5,5640.31
284,0.5,5666.7
285,0.5,5700.02
286,0.5,5710.11
287,0.5,5736.35
288,0.5,5756.2
289,0.5,5781.66
290,0.5,5791.51
291,0.5,5796.1
292,0.5,5832.9
293,0.5,5856.16
294,0.5,5884.58
295,0.5,5900.89
296,0.5,5909.82
297,0.5,5919.86
298,0.5,5947.53
299,0.5,5980.4
300,0.5,5997.02
301,0.5,6020.1
302,0.5,6038.93
303,0.5,6046.58
304,0.5,6078.03
305,0.5,6088.15
306,0.5,6111.69
307,0.5,6125
308,0.5,6148.15
309,0.5,6160.85
310,0.5,6179.99
311,0.5,6201.93
312,0.5,6228.89
313,0.5,6240.51
314,0.5,6276.45
315,0.5,6297.95
316,0.5,6313.3
317,0.5,6338.91
318,0.5,6334.32
319,0.5,6364.53
320,0.5,6395.45
321,0.5,6412.94
322,0.5,6418.59
323,0.5,6449.91
324,0.5,6466.48
325,0.5,6503.88
326,0.5,6512.33
327,0.5,6541.31
328,0.5,6549.14
329,0.5,6579.2
330,0.5,6588.26
331,0.5,6629.41
332,0.5,6623.97
333,0.5,6658.99
334,0.5,6670.6
335,0.5,6679.6
336,0.5,6722.48
337,0.5,6717.18
338,0.5,6752.2
339,0.5,6776.36
340,0.5,6782.21
341,0.5,6806.66
342,0.5,6833.1
343,0.5,6851.73
344,0.5,6878.39
345,0.5,6889.27
346,0.5,6903.31
347,0.5,6937.79
348,0.5,6940.99
349,0.5,6972.34
350,0.5,7001.13
351,0.5,7008.84
352,0.5,7018.01
353,0.5,7054.77
354,0.5,7078.07
355,0.5,7086.77
356,0.5,7103.08
357,0.5,7121.79
358,0.5,7150.99
359,0.5,7181.17
360,0.5,7184.92
361,0.5,7211.63
362,0.5,7227.12
363,0.5,7248.79
364,0.5,7272.19
365,0.5,7271.69
366,0.5,7319.57
367,0.5,7321.71
368,0.5,7331.4
369,0.5,7355.54
370,0.5,7389.31
371,0.5,7415.85
372,0.5,7438.35
373,0.5,7454.25
374,0.5,7462.95
375,0.5,7505.92
376,0.5,7513.86
377,0.5,7517.3
378,0.5,7553.3
379,0.5,7572.88
380,0.5,7606.77
381,0.5,7615.34
382,0.5,7642.02
383,0.5,7633.59
384,0.5,7671.11
385,0.5,7676.49
386,0.5,7710.61
387,0.5,7739.07
388,0.5,7742.84
389,0.5,7766.01
390,0.5,7821.5
391,0.5,7822.44
392,0.5,7815.14
393,0.5,7863.97
394,0.5,7883.11
395,0.5,7906.19
396,0.5,7914.19
397,0.5,7932.78
398,0.5,7934.74
399,0.5,7969.91
400,0.5,7985.53
401,0.5,8016.63
402,0.5,8028.39
403,0.5,8059.01
404,0.5,8063.04
405,0.5,8086.35
406,0.5,8108.23
407,0.5,8140.52
408,0.5,8141.82
409,0.5,8169.98
410,0.5,8198.67
411,0.5,8205.21
412,0.5,8245.49
413,0.5,8252.18
414,0.5,8275.38
415,0.5,8292.72
416,0.5,8308.57
417,0.5,8330.44
418,0.5,8356.03
419,0.5,8371.84
420,0.5,8386.34
421,0.5,8395.78
422,0.5,8434.8
423,0.5,8449.7
424,0.5,8474.29
425,0.5,8482.52
426,0.5,8527.37
427,0.5,8516.36
428,0.5,8538.14
429,0.5,8555.74
430,0.5,8587.82
431,0.5,8609.38
432,0.5,8628.87
433,0.5,8648.79
434,0.5,8672.79
435,0.5,8695.75
436,0.5,8713.69
437,0.5,8716.9
438,0.5,8751.37
439,0.5,8779.5
440,0.5,8788.33
441,0.5,8800.49
442,0.5,8825.64
443,0.5,8855.34
444,0.5,8876.64
445,0.5,8896.14
446,0.5,8915.75
447,0.5,8937.85
448,0.5,8947.21
449,0.5,8976.31
450,0.5,8990.65
451,0.5,9018.3
452,0.5,9012.63
453,0.5,9066.05
454,0.5,9080.35
455,0.5,9080.67
456,0.5,9104.94
457,0.5,9124.56
458,0.5,9141.27
459,0.5,9163.87
